Reward,Total Success,Total Congestion,N_Average Delay,Total Average Delay,Mean Slot Energy,Backoff Indicator
-1.377597650053664,0.98104,0.08827011389984421,0.3079079344369249,35.474476066215445,424.09319,10,2
-1.3777120679020574,0.98078,0.08344355077927935,0.30796406941414156,35.477844164848385,424.32616,10,2
-1.5726238058944375,0.98318,0.23896848407556384,0.10044740139765809,73.7527817897028,747.97159,10,10
-1.9849178288560005,0.75244,0.4690382774052559,0.21503989789237785,1859.8919249375365,406.67083,54,26
-1.745441946361163,0.80096,0.4656172136551483,0.2705242063561064,452.54397223332,353.29178,321,2
-1.9211241652902868,0.58308,0.571755647439759,0.1803014235125103,1597.3419770871922,284.92948,321,26
-1.5337287084397087,0.9964,0.1790241939786662,0.3055468778512238,101.02539140907267,426.29598,54,2
-1.3776423250693615,0.98094,0.08632139140303044,0.3067312985503675,35.4038779130222,425.02434,10,2
-1.377492233548888,0.98174,0.08406289766541485,0.30688199862828386,35.41291991769715,424.64548,10,2
-1.5097123795784673,0.99526,0.1570625344413903,0.30735910437695957,86.15579848481804,425.8842,44,2
-1.7322483325274547,0.7136,0.41736435222057955,0.0513572699758803,172.61252802690584,812.19314,10,28
-1.6541580314690003,0.96796,0.3161837025456745,0.29366829896552615,228.44117525517584,413.48459,143,2
-1.5729698940958874,0.9824,0.2406269637866993,0.101023368427172,73.57308631921823,751.23402,10,10
-1.377182890077788,0.9804,0.08683795458216635,0.30769413844689564,35.461648306813544,422.96656,10,2
-1.9357545009848085,0.61884,0.5385017811254967,0.18908708677166974,1650.7124297071941,309.53486,202,34
-1.9897642868779384,0.75188,0.47344786223850105,0.21499565734451906,1914.3366760653296,407.80266,54,34
-1.66200641812787,0.95798,0.32822890378461683,0.29300668641782357,242.61514854172322,408.2671,153,2
-1.3781080540143475,0.981,0.08481077254730326,0.30896024464831945,35.53761467889908,424.77857,10,2
-1.3780589193628123,0.9805,0.08308452431685018,0.3080588135305071,35.4835288118307,425.17974,10,2
-1.759581904365429,0.6988,0.42891063094917625,0.058367823004900135,206.98726388093874,805.50101,10,30
-1.5093810025536887,0.9958,0.15495901723567235,0.30711700252169066,86.10132556738301,425.31984,44,2
