Reward,Total Success,Total Congestion,N_Average Delay,Total Average Delay,Mean Slot Energy,Backoff Indicator,MaxTx
-1.377075784,0.98098,0.082600439,0.306627046,35.39762279,0.42351972,10,2
-1.742532629,0.80834,0.45999923,0.273561227,442.3877081,0.35578517,311,2
-1.444292468,0.98144,0.122244917,0.192883246,45.93248696,0.51142631,10,4
-1.624130337,0.92078,0.310175313,0.078622484,90.51202242,0.83436266,10,14
-1.377356495,0.98068,0.083726701,0.30739215,35.44352898,0.42371355,10,2
-1.377056862,0.98222,0.083862382,0.306323091,35.37938547,0.42390751,10,2
-1.676220753,0.94038,0.348736306,0.292667685,268.6942087,0.40180109,172,2
-1.612869634,0.99828,0.260545827,0.296431958,172.6267781,0.42194869,103,2
-1.376769645,0.98278,0.080944668,0.306621692,35.39730153,0.42299927,10,2
-1.765354222,0.75376,0.504804846,0.26766679,532.2585704,0.33477522,390,2
-1.377746439,0.9809,0.083938344,0.30799266,35.47955959,0.42442443,10,2
-1.726202601,0.67296,0.447592797,0.052543088,191.1803376,0.69060405,14,24
-1.377788782,0.98102,0.083203866,0.308481648,35.5088989,0.42422306,10,2
-1.917855254,0.56808,0.583634845,0.177708487,1600.382622,0.27604467,390,40
-1.797737595,0.57258,0.575383233,0.140088962,688.726571,0.29157781,400,4
-1.600244679,0.99766,0.246216448,0.300157475,158.0740132,0.42373528,93,2
-1.918905703,0.57244,0.577171903,0.183963967,1595.410838,0.27950146,360,26
-1.377040568,0.98062,0.084943999,0.306945266,35.41671596,0.42313278,10,2
-1.739354692,0.81502,0.455552667,0.275440156,431.5374347,0.35830188,301,2
-1.930799453,0.60586,0.554934228,0.188408118,1656.150629,0.29652862,261,28
-1.377381744,0.98018,0.082605442,0.306622253,35.39733518,0.42423119,10,2
-1.806838262,0.68908,0.436757643,0.06726767,289.0977245,0.78419852,10,34
-1.377622401,0.9811,0.088020746,0.307846635,35.47079808,0.42421633,10,2
-1.377486841,0.9805,0.083460792,0.308164202,35.48985212,0.42350521,10,2
-1.732615864,0.83174,0.44172616,0.280755557,408.6540025,0.36478483,281,2
-1.377876427,0.98102,0.085682143,0.307173486,35.43040917,0.42538499,10,2
-1.623414785,0.92084,0.311247368,0.076815905,89.97510968,0.83536879,10,14
-1.869309159,0.68758,0.436731087,0.077354486,450.9586666,0.75859592,10,40
-1.894590653,0.60228,0.530324294,0.142295995,1228.650395,0.31437304,172,12
-1.377749543,0.98052,0.084797571,0.307698976,35.46193856,0.42456873,10,2
-1.377384506,0.98062,0.083066311,0.308289653,35.49737921,0.42315405,10,2
-1.662225085,0.95732,0.327969799,0.292883244,242.5200978,0.40889779,153,2
-1.785668509,0.697,0.431195852,0.061702395,249.0010043,0.7948632,10,32
-1.49292774,0.98226,0.158867547,0.145653301,54.14159184,0.59981066,10,6
-1.376963116,0.9812,0.083763524,0.307286996,35.43721973,0.42278452,10,2
-1.376691103,0.98202,0.082366808,0.306439787,35.38638724,0.42276808,10,2
-1.377883202,0.98104,0.084010029,0.308500843,35.51005056,0.42447754,10,2
-1.93769472,0.62444,0.535936875,0.183878506,1663.632022,0.31200807,192,34
-1.3774805,0.98032,0.083442913,0.307246613,35.4347968,0.42409581,10,2
-1.377447132,0.9807,0.085692999,0.308634989,35.51809932,0.42310276,10,2
-1.918237851,0.5661,0.595137925,0.183157648,1605.892598,0.27549091,400,34
-1.67384937,0.80194,0.377966997,0.060704479,115.9483004,0.85729948,10,20
-1.492539497,0.98232,0.159046477,0.140685432,54.28163938,0.59677537,10,6
-1.377861603,0.9807,0.084043955,0.30850243,35.51014581,0.42435339,10,2
-1.645380762,0.97864,0.304386188,0.292754571,214.6093354,0.41726257,133,2
-1.673843846,0.80402,0.374506903,0.059006083,116.7202806,0.85248352,10,20
-1.76295262,0.7539,0.496068929,0.266322003,521.6801963,0.33622397,380,2
-1.377915352,0.98128,0.08242066,0.307401217,35.44407305,0.42538225,10,2
-1.378199148,0.98094,0.083681758,0.308676711,35.52060269,0.4252212,10,2
-1.377681252,0.98136,0.085376576,0.309023532,35.54141192,0.42360673,10,2
-1.947738511,0.65232,0.520484392,0.196013747,1723.299669,0.32656107,153,28
-1.719871573,0.73012,0.413270316,0.054862843,157.9975073,0.82426571,10,26
-1.377465332,0.9811,0.083764761,0.307391363,35.44348181,0.42409556,10,2
-1.878722972,0.693,0.439508788,0.086459274,479.1248196,0.76181187,10,40
-1.377943985,0.9813,0.083964144,0.308965997,35.53795985,0.42437043,10,2
-1.693012244,0.77766,0.391126302,0.055195594,132.0828125,0.84469137,10,22
-1.757892646,0.68446,0.50078995,0.159062639,467.1472694,0.35078482,222,4
-1.719612043,0.72986,0.41376069,0.054966658,157.4398104,0.82565128,10,26
-1.443898738,0.98152,0.119230183,0.192866167,45.92992501,0.51014629,10,4
-1.767735583,0.74578,0.505723151,0.262843868,542.6877363,0.33222927,400,2
-1.377572863,0.98136,0.084470525,0.307461074,35.44766447,0.42439542,10,2
-1.377570525,0.98046,0.083283456,0.307909893,35.47459356,0.42390931,10,2
-1.571469408,0.99702,0.214947674,0.302737357,130.526509,0.42398142,74,2
-1.377692018,0.98088,0.083625653,0.307720278,35.4632167,0.42445907,10,2
-1.917775562,0.56394,0.588934975,0.184977911,1603.185587,0.27478999,400,24
-1.377883628,0.98076,0.086372733,0.308131789,35.48790734,0.42468536,10,2
-1.737901478,0.81682,0.451872059,0.272296246,428.1673318,0.35798267,301,2
-1.60172933,0.96726,0.27576153,0.088872921,83.21032608,0.79862373,10,12
-1.377762035,0.97956,0.086537952,0.307285924,35.43715546,0.42471623,10,2
-1.925578186,0.58822,0.567247254,0.180735072,1629.156846,0.28848876,301,28
-1.920535994,0.5782,0.571318262,0.182047854,1596.265133,0.283264,330,12
-1.377822287,0.98094,0.082893492,0.307961411,35.47768467,0.42466601,10,2
-1.715531846,0.86734,0.413166605,0.281737996,359.3116656,0.37684914,242,2
-1.377129932,0.98146,0.085925812,0.307918815,35.47512889,0.4228566,10,2
-1.923175975,0.5775,0.580665686,0.18773078,1638.993939,0.28060106,360,32
-1.622736069,0.9221,0.304254327,0.075029406,90.15367097,0.83047876,10,14
-1.676184664,0.9372,0.350724067,0.291707858,267.868758,0.40237431,172,2
-1.377609688,0.98118,0.083439665,0.309127785,35.54766709,0.42330119,10,2
-1.876351621,0.6954,0.437147823,0.081355932,471.3728789,0.7632557,10,40
-1.937815726,0.70244,0.443430852,0.124714541,932.4047321,0.58057793,14,40
-1.377738264,0.98152,0.082864902,0.308529967,35.51179803,0.42413996,10,2
-1.378150832,0.98058,0.084018836,0.309315235,35.55891411,0.42457293,10,2
-1.765598416,0.7503,0.503920639,0.264577724,532.9265627,0.33432622,390,2
-1.377642457,0.9801,0.085717204,0.307152331,35.42913988,0.42457454,10,2
-1.624950584,0.91984,0.312062542,0.077352926,90.48528005,0.83877576,10,14
-1.377539046,0.98086,0.085266688,0.307366325,35.44197949,0.42427513,10,2
-1.670112199,0.95026,0.34276464,0.292113635,256.5331804,0.40597401,163,2
-1.723068138,0.73,0.418263496,0.053563075,160.5490411,0.82844378,10,26
-1.742045111,0.80582,0.461161399,0.272277355,441.7526743,0.35472733,311,2
-1.377496696,0.9808,0.083510278,0.307565253,35.45391517,0.42400642,10,2
-1.376996422,0.98006,0.084579028,0.305831616,35.34989695,0.42368609,10,2
-1.377386615,0.98132,0.085759219,0.308502833,35.51016998,0.42313978,10,2
-1.849059541,0.58048,0.528495676,0.110535229,875.3060571,0.32316194,143,12
-1.917478063,0.56782,0.584278337,0.180169639,1591.682646,0.27682815,380,34
-1.377892761,0.981,0.085598912,0.30782195,35.46931702,0.42497218,10,2
-1.377975297,0.97994,0.085535365,0.309109061,35.54654367,0.42410786,10,2
-1.736600084,0.82182,0.45213721,0.277935211,421.3957314,0.36148113,291,2
-1.377984236,0.98092,0.085488143,0.308706792,35.52240754,0.42459429,10,2
-1.958355486,0.6752,0.505111597,0.198570085,1760.44535,0.34692798,113,22
-2.007977339,0.80846,0.45328514,0.227086756,1989.248472,0.45474436,34,36
-1.377875242,0.98078,0.084202734,0.307853613,35.47121679,0.42486036,10,2
-1.957819658,0.67608,0.504797295,0.20035843,1754.107591,0.34711228,113,20
-1.938710076,0.62496,0.538294571,0.190002976,1685.226126,0.31015596,202,24
-1.378093238,0.98004,0.084275801,0.308152388,35.4891433,0.42512553,10,2
-1.916914981,0.5695,0.583998512,0.179507759,1589.487972,0.27643738,390,12
-1.828562375,0.6931,0.434186901,0.073776763,339.7733372,0.77170191,10,36
-1.377999137,0.98006,0.083006015,0.308794019,35.52764116,0.42441666,10,2
-1.377709661,0.98092,0.083785789,0.307172518,35.4303511,0.4248997,10,2
-1.493168469,0.98184,0.158410295,0.141082434,54.38684511,0.59798951,10,6
-1.613943992,0.99836,0.260585862,0.298309227,173.6123442,0.42255903,103,2
-1.749015119,0.79326,0.471607897,0.273066773,466.1948415,0.34982984,330,2
-1.960246788,0.68234,0.50125212,0.197633589,1758.151918,0.35303169,103,38
-1.953442346,0.6712,0.509707939,0.197497501,1731.278308,0.34083254,123,24
-1.377566813,0.98146,0.081664178,0.308370523,35.50223137,0.42376097,10,2
-1.377058013,0.981,0.083213624,0.30617737,35.3706422,0.42378865,10,2
-1.754703858,0.77382,0.485192645,0.269111532,487.945181,0.34377079,350,2
-1.719689264,0.67808,0.442622197,0.055702884,184.9441954,0.68561271,14,24
-1.377565759,0.98102,0.082842439,0.30687108,35.41226479,0.42472646,10,2
-1.377276908,0.97972,0.08363142,0.306949945,35.41699669,0.42362402,10,2
-1.72812115,0.84244,0.431530971,0.279364843,395.5393619,0.36770813,271,2
-1.37803609,0.98,0.082707153,0.309193878,35.55163265,0.42422975,10,2
-1.377671031,0.98072,0.084288508,0.306837494,35.41024961,0.42498968,10,2
-1.923236191,0.58406,0.570203611,0.188194887,1610.069719,0.28679221,311,30
